generation,i,fitness,hash,mom_hash,dad_hash,values
0,38,0.00039206549092207836,-7942891547472781901,0,0,5  2  6  9  4  1  3  7  8  0
0,39,0.00039094142882659696,-6082572855088776622,0,0,8  9  3  2  0  7  1  6  5  4
0,40,0.00039083130160921293,5584825075159747450,0,0,0  9  1  5  2  6  3  7  4  8
0,41,0.0003904028397560085,-2981828239046861169,0,0,3  8  5  0  1  6  9  7  4  2
0,42,0.000388748728977129,9038251113840879477,0,0,4  2  9  6  0  1  5  8  3  7
0,43,0.00038854598683195823,-7571847543103681368,0,0,0  8  6  2  5  3  7  4  1  9
0,44,0.0003885106902781304,7521329991202485929,0,0,2  1  6  7  0  3  9  8  4  5
0,45,0.00038741778487867565,-4209383420624789451,0,0,2  3  8  5  0  1  7  6  9  4
0,46,0.00038716968775083814,-2847702602416834909,0,0,0  7  8  4  9  6  2  3  5  1
0,47,0.00038704270422286284,-2647201376882433595,0,0,7  4  5  1  6  3  9  0  8  2
0,48,0.0003867680117418316,-4713510746446907713,0,0,7  0  3  5  2  9  8  1  4  6
0,49,0.00038508179036687265,1049502424229407957,0,0,8  3  6  0  5  2  7  1  4  9
0,50,0.00038482427142428206,-3236110206684412138,0,0,4  9  3  1  5  2  7  6  8  0
0,51,0.00038425145570156834,-7425113837293782722,0,0,2  5  8  7  6  1  4  0  3  9
0,52,0.00038370280665011127,4626470604316752308,0,0,8  1  2  7  0  6  5  4  9  3
0,53,0.0003832455255632992,4864003059199667906,0,0,2  9  0  8  7  5  3  4  1  6
0,54,0.0003831410084184272,-2773560774117307243,0,0,2  4  3  8  5  7  1  0  6  9
0,55,0.0003830310090322394,922161951052619661,0,0,7  1  8  3  4  5  9  0  2  6
0,56,0.00038129866390323254,1913741938718486987,0,0,3  6  4  9  2  5  7  8  1  0
0,57,0.00038061154563312976,-5800414383771795533,0,0,2  8  7  6  5  0  3  9  1  4
0,58,0.0003775487361619865,-5788206746513724599,0,0,0  9  6  5  2  4  7  3  1  8
0,59,0.00037746066240588463,1583952027651086741,0,0,9  8  1  5  3  6  4  7  0  2
0,60,0.0003762370884855972,1685208324960110989,0,0,1  9  0  7  5  2  6  3  4  8
0,61,0.00037599626910789707,3841689397318479983,0,0,6  1  0  8  7  9  2  5  4  3
0,62,0.00037532399136004895,-6520189965425477476,0,0,5  1  0  3  8  2  9  7  4  6
0,63,0.0003743038215385483,-5616823440260904705,0,0,5  0  2  9  8  3  1  6  4  7
0,64,0.000373321663103768,-2012439976779297585,0,0,5  6  8  3  4  2  7  1  0  9
0,65,0.0003731880211235868,3698842790863174324,0,0,5  8  4  3  9  7  2  1  0  6
0,66,0.00037278651744618817,4090479379220684605,0,0,7  1  8  6  2  5  3  4  0  9
0,67,0.00037259892155388103,6503906871530614025,0,0,9  8  6  7  0  4  1  3  2  5
0,68,0.0003718897667640523,7039133132376553025,0,0,6  8  1  5  3  4  0  9  7  2
0,69,0.00037178415332587435,1067878295929905275,0,0,1  5  4  0  2  7  3  6  8  9
0,70,0.0003708793624696566,4474322897333351565,0,0,6  9  4  7  3  2  1  0  8  5
0,71,0.0003707035056173374,-602051897325963655,0,0,9  6  7  0  5  2  1  8  4  3
