generation,i,fitness,hash,mom_hash,dad_hash,values
0,17,533,-2838926523255982530,0,0,1  0  1  0  0  0  1  0  1  0  1  1  1  0  1  1  1  1  0  0  0  1  1  0  1  1  0  1  1  1  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  1  1  1  0  1  1  1  0  0  1  1  1  1  1  0  0  0  0  1  0  0  0  1  1  1  0  1
0,18,532,-7393221354233983771,0,0,1  0  0  1  0  0  0  1  1  0  1  0  0  1  1  1  1  1  0  1  1  0  0  0  0  0  1  0  1  1  1  1  1  0  1  0  1  1  1  0  0  0  1  0  0  1  1  1  0  0  0  0  0  1  0  0  0  1  0  1  1  0  1  1  1  1  0  1  0  1  1  1  1
0,19,531,-7101355053689271748,0,0,1  1  0  1  1  0  1  1  1  0  0  1  0  0  1  1  1  1  0  0  0  1  0  0  1  1  0  1  0  1  0  1  0  0  0  1  1  1  1  0  1  0  1  0  1  0  1  1  1  1  1  0  0  1  0  1  0  1  1  0  0  0  0  1  0  0  0  0  1  1  0  0  0
0,20,530,2383689259858723203,0,0,0  0  1  0  1  0  1  1  1  0  1  1  1  1  1  1  1  0  0  1  1  1  1  0  1  0  1  1  1  1  0  1  0  1  1  0  0  0  0  1  1  0  1  1  0  1  1  1  0  0  1  0  1  0  0  0  1  1  1  1  0  1  0  1  0  0  1  0  0  1  0  1  0
0,21,529,146512782218062214,0,0,1  1  1  1  0  0  1  0  0  1  1  1  0  1  0  1  1  0  0  0  1  1  0  1  0  1  0  0  0  0  0  1  0  1  1  0  1  1  0  1  0  1  1  0  0  1  1  0  1  0  0  1  1  1  1  1  0  1  0  0  0  1  1  1  0  1  1  1  0  1  1  1  1
0,22,529,4670889646170836013,0,0,0  1  1  1  1  0  0  1  1  1  0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  0  1  0  0  1  1  1  1  0  1  1  0  1  0  1  1  1  1  1  1  1  1  0  0  0  1  0  1  1  1  1  1  1  0  0  1  1  0  0  0  0  0  0  0  1  1  0  1
0,23,529,-4848312788716167545,0,0,0  1  1  1  0  1  0  1  1  1  0  0  1  1  1  1  1  1  1  0  1  1  1  1  1  0  0  0  0  1  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1  1  1  0  0  1  0  0  0  0  1  1  0  0  1  1  0  0  0  0  0  1  1  1  0  1  0  1  0
0,24,527,-6600355678868604860,0,0,1  1  0  1  1  0  1  0  0  0  0  0  1  1  1  1  1  0  0  0  0  0  0  0  0  1  1  1  1  0  1  1  1  1  1  1  0  1  1  1  0  0  0  1  1  1  1  0  1  1  1  1  1  1  0  0  0  0  1  0  1  0  0  0  1  0  1  0  1  1  1  0  1
0,25,526,-8801099459778026734,0,0,1  0  0  0  0  0  1  1  1  0  1  1  1  0  0  0  1  1  0  1  1  0  1  0  1  0  1  1  1  1  1  1  1  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  1  1  1  1  1  1  1  1  1  1  0  0  1  0  1  0  1  1  0  1  0  1
0,26,525,1261800446684868972,0,0,0  1  0  0  0  0  0  1  1  0  0  1  0  1  1  0  1  0  1  1  0  0  1  1  1  0  1  1  0  1  0  0  0  0  1  1  0  0  1  1  0  1  1  1  0  1  1  1  1  1  1  1  0  1  0  1  0  0  0  0  1  1  1  0  1  1  0  0  1  0  1  0  0
0,27,522,1701214316661701419,0,0,1  1  0  0  1  0  0  0  0  1  0  0  1  1  1  1  1  0  0  1  1  0  0  0  0  1  0  1  0  1  0  0  0  1  1  1  1  1  0  0  0  0  1  1  0  1  1  0  0  0  0  1  1  1  1  1  0  1  1  0  1  1  1  1  0  1  1  1  0  0  0  0  1
0,28,522,-6489562784162767900,0,0,0  0  1  0  0  1  0  1  0  0  1  1  0  0  1  0  1  0  1  0  1  0  1  1  1  1  0  1  0  1  0  0  1  1  0  0  1  0  1  1  0  1  1  1  0  0  1  0  1  1  0  0  1  0  1  1  1  1  1  0  1  1  0  1  0  1  0  0  0  0  1  0  0
0,29,521,-7047439822949252027,0,0,0  1  1  1  0  1  0  1  1  0  0  0  1  0  0  1  1  1  1  0  1  1  1  0  0  0  0  1  1  0  0  1  1  1  0  1  1  1  0  1  1  1  1  0  0  1  1  1  0  0  0  0  1  0  1  0  1  1  0  0  0  0  1  1  0  1  0  0  0  1  1  1  0
0,30,519,-4502661024826352371,0,0,0  1  1  0  0  0  0  0  0  1  1  0  1  0  1  1  0  1  0  1  1  0  1  0  1  0  0  1  1  1  0  0  0  0  1  0  0  1  0  1  0  1  1  0  1  0  1  0  1  1  0  1  1  1  1  0  1  1  1  0  1  0  0  1  1  0  0  1  0  0  1  0  0
0,31,519,-3314973025343578154,0,0,1  0  1  0  1  0  0  1  0  1  0  1  0  1  1  0  1  0  1  1  1  1  1  1  1  0  1  0  0  1  0  1  1  0  1  0  1  1  1  0  1  0  1  0  1  1  0  0  0  0  0  0  1  1  1  0  1  1  0  0  1  1  1  1  1  1  1  0  0  0  1  0  1
0,32,518,-2584166319091409634,0,0,0  1  1  1  0  1  1  0  1  0  0  0  1  0  1  1  0  1  1  0  1  1  1  0  0  0  1  1  0  1  0  0  0  1  0  1  0  0  1  1  0  0  1  0  0  0  0  1  0  0  1  0  1  1  1  0  1  0  0  1  0  1  1  1  1  1  0  0  0  0  1  1  1
0,33,517,171676854649552783,0,0,0  0  1  0  1  0  1  1  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  1  0  0  1  0  1  1  0  0  1  0  1  1  0  1  1  0  1  0  1  1  1  1  1  0  0  1  1  1  1  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  1  1  0  1  1
0,34,516,4408198683889591548,0,0,0  0  1  0  1  1  0  0  0  0  1  0  1  1  1  1  0  1  0  1  1  1  1  1  0  1  1  0  1  1  1  1  0  1  1  1  0  1  0  0  0  1  1  0  0  0  1  1  1  1  1  1  0  0  0  0  1  1  0  1  0  1  0  0  1  0  0  1  1  1  0  0  0
